Unnamed: 0,id,split,question,effective_year,next_review,false_premise,num_hops,fact_type,source,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note,freshprompt_answer,_gt_list,freshprompt_answer_evaluated,freshprompt_answer_explaination
42,42,TEST,By how many seats do Democrats currently control the United States Senate?,2025,occasionally,True,one-hop,slow-changing,"https://en.wikipedia.org/wiki/United_States_Senate#:~:text=Political%20groups,Republican%20(53)",Democrats currently do not control the US Senate.,"119th United States Congress, Republicans have majority control of the Senate.",,,,,,,,,,"The question does not contain a valid premise. According to the most up-to-date information, Republicans currently hold the majority in the United States Senate with 53 seats, while Democrats, including two independents who caucus with them, hold 47 seats. Therefore, Democrats do not control the Senate.","['Democrats currently do not control the US Senate.', '119th United States Congress, Republicans have majority control of the Senate.']",correct,evaluation: correct
43,43,TEST,Who is the X Corp.'s CEO?,2025,occasionally,True,one-hop,slow-changing,https://en.wikipedia.org/wiki/X_Corp.#:~:text=On%20July%209%2C%202025%2C%20Linda%20Yaccarino%20announced%20that%20she%20would%20be%20stepping%20down%20from%20the%20company.,X Corp. currently has no CEO following Linda Yaccarino's recent resignation.,,,,,,,,,,,"The question contains a valid premise. As of today, November 15, 2025, the most up-to-date and relevant information regarding this query is as follows. Linda Yaccarino served as CEO of X Corp. from 2023 to 2025. However, she stepped down from her role in July 2025. The current CEO of X Corp. is not specified in the provided information.","[""X Corp. currently has no CEO following Linda Yaccarino's recent resignation.""]",incorrect,evaluation: incorrect
55,55,TEST,What two federal crimes has the most recent former President of the United States been convicted of?,2025,01/01/2029,True,multi-hop,slow-changing,"https://en.wikipedia.org/wiki/Joe_Biden#:~:text=Biden%20(disambiguation).-,Joe%20Biden,-Official%20portrait%2C%202021","The most recent former President of the United States, Joe Biden, hasn't been convicted of any federal crimes.",,,,,,,,,,,"The question contains an invalid premise. As of the latest information available, the most recent former President of the United States, Donald Trump, has not been convicted of any federal crimes.","[""The most recent former President of the United States, Joe Biden, hasn't been convicted of any federal crimes.""]",correct,evaluation: correct
93,93,TEST,Alphabet's market capitalization reached its highest-ever recorded value during what month in 2021?,2025,,True,one-hop,never-changing,"https://en.wikipedia.org/wiki/List_of_public_corporations_by_market_capitalization#:~:text=%E2%80%94-,15%20September%202025,-3%2C009","The all-time highest value of Alphabet was in September 2025, not in 2021.",,,,,,,,,,,The question does not contain a valid premise. There is no information indicating that Alphabet's market capitalization reached its highest-ever recorded value during any specific month in 2021.,"['The all-time highest value of Alphabet was in September 2025, not in 2021.']",correct,evaluation: correct
122,122,TEST,Who did Michael van Gerwen beat to win this year's PDC World Darts Championship?,2025,01/03/2026,True,one-hop,fast-changing,"https://en.wikipedia.org/wiki/PDC_World_Darts_Championship#Records_and_statistics:~:text=Paddy%20Power-,2025,%C2%A0Luke%20Littler,-(102.73)","Michael van Gerwen lost to Luke Littler in the final, held on Friday January 3.",,,,,,,,,,,"The question contains an invalid premise. Michael van Gerwen did not win this year's PDC World Darts Championship. Instead, Luke Littler won the championship by defeating Michael van Gerwen in the final.","['Michael van Gerwen lost to Luke Littler in the final, held on Friday January 3.']",correct,evaluation: correct
123,123,TEST,What does Elon Musk use to refer to his position as X Corp.'s chairman and CTO in his current Twitter/X bio?,2024,frequently,True,one-hop,fast-changing,https://twitter.com/elonmusk,Elon Musk's current Twitter/X bio does not mention anything about his position as X Corp.'s chairman and CTO.,nothing,,,,,,,,,,The question contains an invalid premise. There is no information indicating that Elon Musk refers to his position as X Corp.'s chairman and CTO in his current Twitter/X bio.,"[""Elon Musk's current Twitter/X bio does not mention anything about his position as X Corp.'s chairman and CTO."", 'nothing']",correct,evaluation: correct
153,153,TEST,What was the Weeknd's last studio album titled?,2025,occasionally,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/The_Weeknd#Discography:~:text=FM%20(2022)-,Hurry%20Up%20Tomorrow%20(2025),-Filmography",Hurry Up Tomorrow,,,,,,,,,,,"As of today November 15, 2025, the most up-to-date and relevant information regarding this query is as follows. The Weeknd's last studio album is titled ""Hurry Up Tomorrow.""",['Hurry Up Tomorrow'],correct,evaluation: correct
154,154,TEST,"How many children does Elon Musk have, including his deceased child?",2025,occasionally,False,one-hop,slow-changing,https://en.wikipedia.org/wiki/Elon_Musk#:~:text=at%20least%2014%20(including%20Vivian%20Wilson),14,fourteen,at least 14,at least fourteen,,,,,,,,"As of today, November 15, 2025, the most up-to-date and relevant information regarding this query is as follows. Elon Musk has 14 children, including his first child, Nevada Alexander Musk, who tragically passed away as an infant.","['14', 'fourteen', 'at least 14', 'at least fourteen']",correct,evaluation: correct
155,155,TEST,What is the name of NASA's latest telescope that can map the entire celestial sky in infrared light?,2025,occasionally,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/List_of_space_telescopes#Infrared_and_submillimetre:~:text=%5B192%5D-,SPHEREx,-NASA",SPHEREx,,,,,,,,,,,The question contains a valid premise. The name of NASA's latest telescope that can map the entire celestial sky in infrared light is SPHEREx.,['SPHEREx'],correct,evaluation: correct
156,156,TEST,How many seats are there in the German Bundestag?,2025,occasionally,False,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Bundestag#:~:text=Structure-,Seats,630,-Political%20groups",630,,,,,,,,,,,"The German Bundestag currently has 630 seats, following a ruling by Germany's top court allowing the downsizing from 733 seats.",['630'],correct,evaluation: correct
